Date of joining,Gender,Company Type,WFH Setup Available,Level,Resource Allocation,Mental Fatigue Score,Burn Rate
15/06/2008,Female,Service,No,3,6,5.9,0.69
27/03/2008,Female,Service,No,4,7,7.5,0.65
24/02/2008,Female,Product,No,0,1,4,0.24
30/11/2008,Female,Service,Yes,1,3,5.3,0.41
3/10/2008,Female,Product,No,2,5,7.5,0.68
17/01/2008,Female,Service,Yes,1,2,5.9,0.42
30/01/2008,Male,Product,No,4,7,7.7,0.72
28/03/2008,Male,Service,Yes,0,2,4.4,0.33
21/10/2008,Female,Service,Yes,2,3,5.9,0.37
3/2/2008,Male,Service,Yes,4,6,5.9,0.6
13/10/2008,Male,Service,Yes,3,5,6.5,0.48
8/2/2008,Male,Product,Yes,2,4,5.5,0.48
25/11/2008,Male,Service,No,2,5,5,0.36
23/04/2008,Female,Service,Yes,1,1,5.9,0.24
7/11/2008,Male,Product,No,4,10,9.2,0.91
23/12/2008,Female,Product,Yes,1,2,4.1,0.24
24/11/2008,Female,Service,No,3,6,5.5,0.45
21/06/2008,Male,Service,No,5,9,8.8,0.85
20/05/2008,Female,Service,No,2,4,5.5,0.34
29/11/2008,Male,Product,Yes,1,3,5.9,0.36
11/8/2008,Female,Service,Yes,2,4,4.5,0.34
29/04/2008,Male,Product,No,3,6,8,0.59
22/07/2008,Female,Service,Yes,2,4,5.8,0.44
19/11/2008,Male,Service,No,1,3,4.4,0.38
29/12/2008,Male,Product,No,3,6,7.5,0.59
20/06/2008,Female,Service,No,2,7,8,0.7
31/08/2008,Male,Product,No,2,3,6.1,0.42
26/05/2008,Male,Product,Yes,1,2,5.1,0.46
25/12/2008,Female,Service,Yes,3,4,5.9,0.48
14/02/2008,Female,Service,Yes,3,5,4.7,0.39
4/3/2008,Female,Service,Yes,3,5,5.2,0.42
6/10/2008,Male,Product,Yes,0,1,0,0
21/10/2008,Female,Service,Yes,2,5,5.1,0.46
16/08/2008,Male,Product,Yes,1,2,4.4,0.3
29/10/2008,Female,Product,No,4,6,6.9,0.63
15/07/2008,Female,Service,No,2,5,5.3,0.45
21/04/2008,Male,Service,No,2,3,5.9,0.49
1/9/2008,Female,Service,Yes,3,6,6,0.58
6/1/2008,Male,Product,No,4,7,8.6,0.67
20/03/2008,Male,Service,No,2,5,7.3,0.71
14/04/2008,Female,Service,Yes,1,3,5.5,0.48
21/05/2008,Male,Service,Yes,1,3,2.9,0.22
11/6/2008,Female,Product,No,3,6,5.1,0.43
3/10/2008,Male,Service,Yes,4,8,5.9,0.74
16/02/2008,Male,Service,No,2,5,6.4,0.57
5/2/2008,Female,Service,Yes,2,3,5.9,0.22
19/11/2008,Female,Service,No,3,4,5.8,0.47
29/10/2008,Female,Service,Yes,3,4,6.1,0.47
11/6/2008,Female,Service,Yes,3,5,5.3,0.47
13/10/2008,Female,Product,Yes,1,4,5.5,0.34
10/10/2008,Female,Service,Yes,1,3,5.5,0.37
26/09/2008,Female,Service,No,3,7,7.8,0.8
1/6/2008,Male,Product,No,4,8,8.9,0.8
11/7/2008,Female,Product,No,2,4,5.9,0.36
23/07/2008,Female,Service,Yes,1,4,6.9,0.49
10/7/2008,Female,Service,Yes,1,3,5.9,0.35
9/8/2008,Male,Service,Yes,0,1,0,0
5/10/2008,Male,Service,Yes,4,9,9.3,0.86
14/03/2008,Female,Service,Yes,1,2,4.6,0.33
14/06/2008,Female,Service,Yes,3,6,5.7,0.5
23/10/2008,Female,Service,Yes,2,4,4.5,0.34
22/02/2008,Male,Product,Yes,0,2,4.7,0.23
4/2/2008,Male,Product,No,4,8,9.9,0.92
19/05/2008,Female,Service,Yes,3,6,6.3,0.44
20/09/2008,Female,Service,Yes,1,3,3.6,0.15
8/3/2008,Female,Service,Yes,0,2,4.3,0.32
1/8/2008,Female,Service,Yes,3,4,6.5,0.43
18/01/2008,Male,Service,No,4,9,8.7,0.78
4/3/2008,Male,Service,Yes,0,1,3.1,0.23
13/07/2008,Male,Service,Yes,2,4,3.6,0.21
15/08/2008,Male,Service,Yes,1,2,3.6,0.23
4/11/2008,Female,Product,Yes,3,5,5.7,0.4
24/11/2008,Female,Service,Yes,2,5,5.7,0.38
16/04/2008,Female,Service,No,0,1,0.5,0
5/12/2008,Female,Product,No,2,4,3.9,0.33
27/07/2008,Male,Product,Yes,3,4,7.3,0.63
7/12/2008,Female,Product,No,2,5,7,0.62
13/10/2008,Female,Service,No,2,4,5.9,0.39
15/06/2008,Male,Service,Yes,3,4,5.4,0.36
4/6/2008,Female,Service,Yes,2,3,3.7,0.28
17/12/2008,Female,Product,No,3,4,7.4,0.56
9/9/2008,Female,Service,Yes,2,4,6.1,0.41
5/2/2008,Male,Service,Yes,0,1,2.8,0.1
1/11/2008,Female,Service,No,2,4,6.9,0.63
28/01/2008,Male,Service,Yes,3,7,7.3,0.67
14/04/2008,Male,Service,No,3,7,7.2,0.62
4/4/2008,Male,Service,Yes,2,7,9,0.77
6/7/2008,Female,Service,No,0,1,0,0
19/12/2008,Male,Product,Yes,2,6,5.6,0.51
28/12/2008,Female,Service,Yes,2,4,6.8,0.61
11/2/2008,Female,Service,Yes,1,3,5.1,0.41
8/7/2008,Female,Service,Yes,3,5,6,0.53
16/12/2008,Female,Service,Yes,1,3,6.8,0.5
17/11/2008,Male,Product,Yes,2,5,6.5,0.55
13/07/2008,Male,Service,Yes,4,6,5.7,0.49
21/01/2008,Male,Service,Yes,2,4,6.9,0.57
19/10/2008,Male,Product,Yes,3,5,6.1,0.44
7/1/2008,Male,Service,Yes,3,7,8.8,0.7
21/10/2008,Female,Service,Yes,1,2,6.8,0.48
24/12/2008,Male,Product,No,0,4,3.8,0.23
9/6/2008,Male,Service,No,4,7,5.9,0.79
19/01/2008,Male,Service,No,2,5,6.8,0.6
13/09/2008,Male,Product,Yes,2,4,5.5,0.48
28/10/2008,Female,Service,Yes,2,3,4.5,0.21
22/07/2008,Female,Product,No,2,2,2.6,0.15
14/10/2008,Male,Service,No,5,10,10,0.98
8/11/2008,Female,Service,Yes,1,2,4.3,0.25
16/02/2008,Male,Product,No,3,8,8.8,0.7
11/7/2008,Female,Service,No,4,7,7.2,0.69
2/9/2008,Male,Service,Yes,1,3,4.4,0.33
4/12/2008,Female,Service,No,2,4,5.5,0.44
26/12/2008,Female,Product,No,2,5,7.8,0.57
8/5/2008,Male,Product,Yes,1,3,4.5,0.27
12/8/2008,Male,Service,No,4,6,6.7,0.67
26/01/2008,Female,Service,No,1,1,3.4,0.25
24/08/2008,Female,Service,No,0,1,3.6,0.18
3/2/2008,Female,Product,No,3,7,7.9,0.6
30/09/2008,Female,Service,Yes,2,5,5.3,0.39
21/09/2008,Female,Service,Yes,1,3,5.3,0.34
10/11/2008,Female,Product,No,3,6,5.5,0.52
28/04/2008,Female,Product,No,1,3,5.4,0.42
25/12/2008,Male,Product,Yes,1,1,4.8,0.28
9/1/2008,Female,Product,Yes,2,4,6.2,0.38
18/05/2008,Male,Product,No,4,6,6.9,0.59
23/01/2008,Female,Product,Yes,2,5,8,0.62
14/09/2008,Male,Product,No,3,7,8.7,0.76
9/8/2008,Female,Service,No,1,3,4.2,0.33
8/12/2008,Male,Service,No,2,2,4.2,0.28
25/01/2008,Female,Service,No,3,6,7.2,0.62
8/10/2008,Female,Service,Yes,2,4,5.2,0.45
14/09/2008,Male,Service,Yes,2,2,3.3,0.24
27/09/2008,Male,Service,No,2,5,6.3,0.53
3/5/2008,Male,Service,Yes,2,4,6.8,0.59
21/05/2008,Male,Product,Yes,3,6,5.9,0.65
4/2/2008,Male,Product,Yes,3,5,3.8,0.29
12/5/2008,Female,Product,Yes,1,2,2.7,0.19
21/02/2008,Female,Service,No,4,7,8.1,0.65
9/12/2008,Female,Product,Yes,1,1,1.3,0.02
16/10/2008,Female,Service,Yes,2,4,7,0.47
16/05/2008,Male,Service,No,4,7,5.9,0.82
26/10/2008,Female,Service,No,2,5,6.6,0.43
22/09/2008,Female,Service,No,2,5,7.9,0.61
6/8/2008,Female,Product,No,0,2,4.7,0.33
3/5/2008,Female,Service,No,2,4,7.9,0.6
3/3/2008,Female,Product,No,2,6,6.4,0.52
30/04/2008,Male,Service,Yes,5,9,9.3,0.93
20/12/2008,Male,Product,No,2,4,6.3,0.47
1/9/2008,Male,Service,No,2,4,6.4,0.53
2/3/2008,Male,Service,No,3,7,6.9,0.51
8/2/2008,Female,Service,Yes,1,1,4.9,0.26
13/04/2008,Female,Product,Yes,3,4,5.2,0.42
20/11/2008,Female,Service,No,2,5,6.2,0.58
19/11/2008,Female,Service,Yes,1,2,5.3,0.3
12/8/2008,Male,Product,Yes,3,6,6.2,0.56
12/4/2008,Male,Product,No,2,5,6.1,0.57
18/11/2008,Female,Service,Yes,2,3,5.5,0.3
21/04/2008,Male,Service,No,4,8,9.5,0.86
11/8/2008,Male,Product,No,2,6,6.3,0.62
25/02/2008,Male,Service,Yes,3,5,5.2,0.41
22/06/2008,Male,Service,Yes,1,4,5.1,0.38
15/02/2008,Female,Service,Yes,2,5,5.9,0.41
22/07/2008,Female,Service,No,2,5,5.8,0.46
23/05/2008,Female,Service,No,2,4,5.9,0.44
15/08/2008,Female,Product,No,1,1,3.2,0.24
24/02/2008,Female,Service,Yes,2,4,6.1,0.39
14/02/2008,Female,Service,No,2,4,7.5,0.53
18/11/2008,Female,Service,No,2,4,6,0.53
24/02/2008,Female,Service,No,2,2,3.9,0.21
13/10/2008,Male,Service,No,4,8,8.4,0.77
22/12/2008,Female,Product,Yes,1,2,6,0.37
3/10/2008,Male,Service,No,3,8,5.9,0.93
8/9/2008,Female,Service,Yes,4,7,5.9,0.67
14/03/2008,Male,Service,Yes,1,3,4.9,0.38
7/6/2008,Male,Product,Yes,3,4,6.3,0.47
31/08/2008,Male,Service,No,4,8,8,0.69
16/11/2008,Male,Service,No,2,7,7.1,0.72
26/06/2008,Male,Service,No,4,8,7.3,0.73
11/5/2008,Female,Product,No,4,8,8.2,0.72
3/9/2008,Female,Product,No,2,6,7.1,0.58
6/3/2008,Female,Service,Yes,2,5,4.5,0.38
23/03/2008,Female,Service,Yes,1,4,5,0.36
3/11/2008,Male,Service,No,2,5,4.2,0.32
27/02/2008,Male,Product,Yes,1,3,4.8,0.35
24/09/2008,Female,Service,Yes,4,8,9.4,0.83
30/09/2008,Male,Service,Yes,4,7,7.9,0.73
23/02/2008,Male,Product,Yes,0,2,2.1,0.15
26/10/2008,Male,Service,Yes,2,5,4.2,0.3
1/4/2008,Male,Service,No,1,3,6.6,0.47
17/06/2008,Female,Product,No,4,6,7.1,0.68
10/8/2008,Male,Product,No,5,10,9.7,0.87
25/05/2008,Female,Product,Yes,1,2,5.5,0.4
22/05/2008,Female,Service,No,1,3,5.2,0.43
13/01/2008,Male,Product,No,4,7,8.4,0.64
6/8/2008,Male,Product,No,2,3,3.4,0.26
19/02/2008,Male,Service,No,2,4,7.2,0.59
13/09/2008,Male,Service,No,2,6,7,0.52
26/09/2008,Female,Service,No,2,5,7.3,0.56
6/6/2008,Male,Service,No,3,6,6.5,0.56
18/11/2008,Female,Service,Yes,0,1,5.9,0.25
16/12/2008,Male,Service,No,1,4,5.8,0.53
16/01/2008,Male,Service,No,2,4,6.2,0.4
11/4/2008,Female,Service,No,2,4,4.2,0.31
22/03/2008,Male,Product,No,3,4,8.9,0.83
24/02/2008,Male,Service,No,1,5,6.6,0.54
20/04/2008,Female,Service,Yes,2,4,5.5,0.36
2/2/2008,Male,Product,No,2,6,7.5,0.55
6/7/2008,Male,Service,Yes,1,2,3.8,0.22
1/10/2008,Male,Service,Yes,4,4,6.9,0.69
20/01/2008,Female,Product,Yes,3,5,5,0.4
2/9/2008,Male,Service,Yes,3,6,7.9,0.64
24/11/2008,Male,Service,Yes,3,5,6.5,0.48
7/10/2008,Female,Service,Yes,1,3,5.2,0.39
5/7/2008,Female,Service,Yes,3,5,5.6,0.4
4/4/2008,Female,Product,Yes,2,4,6.2,0.49
10/7/2008,Male,Service,Yes,2,4,5.9,0.16
14/06/2008,Female,Service,No,2,2,3.9,0.29
3/6/2008,Male,Service,Yes,2,5,6.1,0.41
12/11/2008,Male,Service,Yes,2,5,5.5,0.37
26/08/2008,Male,Product,No,3,6,8.6,0.68
29/04/2008,Female,Service,Yes,2,5,7.1,0.58
17/05/2008,Female,Service,No,2,6,6.9,0.55
6/8/2008,Female,Product,Yes,2,3,6.9,0.5
3/5/2008,Male,Product,No,2,4,6.3,0.57
30/12/2008,Male,Product,Yes,2,3,6.3,0.44
19/06/2008,Male,Service,Yes,2,3,5.7,0.37
2/3/2008,Female,Service,No,2,6,5.9,0.61
30/01/2008,Male,Service,No,3,7,6.3,0.62
13/05/2008,Male,Product,No,2,4,6.7,0.57
19/02/2008,Female,Service,Yes,1,4,1.9,0.03
4/10/2008,Male,Service,Yes,3,5,4.9,0.37
11/2/2008,Male,Service,Yes,1,4,5.4,0.35
22/12/2008,Male,Service,No,4,6,7,0.55
30/03/2008,Female,Service,Yes,2,4,5.9,0.18
16/06/2008,Female,Service,Yes,2,4,6.5,0.61
12/3/2008,Male,Product,Yes,2,3,4,0.2
27/04/2008,Female,Product,Yes,0,1,4,0.2
11/9/2008,Female,Product,No,3,7,5.9,0.64
14/03/2008,Female,Service,No,1,2,5.9,0.43
21/09/2008,Female,Service,Yes,1,3,3.7,0.17
15/12/2008,Male,Service,No,2,4,5.2,0.47
10/9/2008,Male,Service,No,0,1,2.8,0.12
6/9/2008,Female,Service,No,5,10,5.9,1
19/04/2008,Female,Product,No,3,6,8.2,0.65
11/10/2008,Female,Service,Yes,3,4,5.5,0.42
15/07/2008,Female,Service,No,1,1,3.6,0.28
8/7/2008,Male,Product,Yes,2,5,6.9,0.67
20/06/2008,Female,Product,No,5,9,9.4,0.88
12/1/2008,Male,Service,Yes,1,3,3.6,0.29
24/11/2008,Male,Service,No,2,5,6.8,0.6
22/05/2008,Male,Service,Yes,0,1,3.8,0.17
14/02/2008,Female,Product,Yes,1,2,1.6,0.08
2/12/2008,Male,Service,No,2,4,5.4,0.48
24/12/2008,Female,Service,No,2,4,7.3,0.51
10/3/2008,Female,Service,Yes,0,2,4,0.3
8/2/2008,Female,Service,No,2,4,7,0.54
24/01/2008,Female,Service,No,4,8,7.8,0.74
29/08/2008,Male,Service,Yes,1,3,3.4,0.29
29/07/2008,Male,Product,No,3,6,7.4,0.52
29/06/2008,Female,Product,No,3,6,6.6,0.46
21/03/2008,Female,Service,No,1,3,4.7,0.37
13/04/2008,Male,Service,Yes,1,4,4.7,0.36
11/1/2008,Male,Product,No,2,5,4.9,0.39
19/11/2008,Male,Service,No,2,6,8.7,0.7
9/11/2008,Female,Product,No,2,4,5.6,0.38
20/08/2008,Male,Service,Yes,5,9,9.4,0.88
30/07/2008,Male,Service,Yes,1,2,3.6,0.22
9/9/2008,Female,Service,No,3,6,7.2,0.63
6/8/2008,Male,Service,No,4,8,5.9,0.68
23/08/2008,Male,Product,No,2,5,7.2,0.66
8/10/2008,Female,Service,Yes,2,5,6.5,0.49
19/11/2008,Male,Product,No,3,7,5.9,0.77
2/12/2008,Male,Service,No,1,2,5.2,0.44
15/06/2008,Female,Service,No,2,4,5.9,0.6
12/3/2008,Male,Service,Yes,0,1,5.9,0.2
2/2/2008,Female,Service,Yes,2,4,5.5,0.45
3/9/2008,Female,Product,Yes,0,1,4.1,0.2
5/6/2008,Male,Service,No,5,10,9.2,0.75
23/09/2008,Female,Product,Yes,1,1,2.6,0.09
3/2/2008,Female,Service,No,1,2,5.5,0.39
30/04/2008,Male,Service,Yes,2,4,2.5,0.14
5/9/2008,Female,Service,Yes,3,7,5.8,0.55
30/01/2008,Female,Service,Yes,1,1,3.2,0.2
18/06/2008,Male,Product,No,3,7,8.3,0.66
15/08/2008,Male,Service,No,1,3,4.6,0.38
24/11/2008,Female,Product,No,0,4,4.1,0.26
13/01/2008,Female,Service,No,2,4,6.8,0.46
14/01/2008,Male,Service,Yes,1,3,4.9,0.43
10/5/2008,Male,Service,No,3,6,6.4,0.51
6/12/2008,Male,Service,No,0,1,5.9,0.16
10/1/2008,Female,Service,No,2,4,6.9,0.5
13/06/2008,Female,Service,No,2,5,6,0.55
29/05/2008,Female,Service,Yes,3,5,6.5,0.5
15/11/2008,Female,Product,Yes,1,2,5.7,0.48
11/2/2008,Male,Service,No,2,5,7.6,0.6
29/11/2008,Male,Service,No,3,5,6,0.53
20/12/2008,Female,Product,Yes,1,3,5.6,0.34
10/11/2008,Female,Product,Yes,3,5,5.7,0.39
18/11/2008,Female,Service,No,3,4,6.3,0.43
3/10/2008,Male,Service,Yes,3,7,6.7,0.63
26/05/2008,Male,Service,Yes,3,6,4.7,0.43
18/07/2008,Female,Product,Yes,2,4,3.9,0.32
28/07/2008,Male,Service,Yes,1,4,3.8,0.33
6/8/2008,Female,Product,Yes,0,1,3.9,0.21
28/06/2008,Male,Service,No,4,8,6.7,0.65
16/03/2008,Female,Product,Yes,2,2,3.5,0.27
26/07/2008,Female,Service,No,3,8,7.9,0.76
26/07/2008,Female,Service,Yes,1,1,2,0.04
23/12/2008,Female,Product,No,0,1,1.7,0.13
1/1/2008,Female,Product,Yes,1,4,6.7,0.5
3/11/2008,Female,Service,Yes,1,3,3.2,0.11
18/05/2008,Female,Product,Yes,1,2,4.9,0.42
19/11/2008,Male,Service,No,3,6,8.8,0.7
30/09/2008,Male,Service,Yes,3,5,6.2,0.41
27/08/2008,Male,Product,No,1,3,4.2,0.25
11/6/2008,Female,Product,Yes,0,2,3.3,0.18
9/1/2008,Female,Service,No,1,2,5.2,0.28
12/1/2008,Male,Service,Yes,2,3,6.4,0.44
30/08/2008,Female,Product,No,3,6,6.6,0.52
20/03/2008,Female,Service,Yes,1,2,4.8,0.28
10/4/2008,Female,Product,No,2,5,6.2,0.53
26/05/2008,Female,Service,Yes,0,2,4.7,0.27
21/10/2008,Female,Service,No,0,1,3.1,0.14
16/12/2008,Female,Product,No,3,6,6,0.53
23/12/2008,Male,Product,Yes,1,2,5.9,0.22
14/07/2008,Female,Service,Yes,1,2,3.3,0.24
6/1/2008,Female,Product,No,3,6,8.1,0.67
28/09/2008,Female,Product,Yes,2,4,6.2,0.38
24/10/2008,Male,Service,Yes,2,6,6.9,0.65
26/10/2008,Female,Service,No,1,3,5.5,0.46
14/02/2008,Female,Service,No,3,5,4.2,0.31
14/01/2008,Female,Service,No,3,7,6.1,0.55
9/10/2008,Female,Service,Yes,2,4,5.9,0.4
21/09/2008,Female,Product,No,0,1,0,0
10/9/2008,Female,Product,No,4,7,6.2,0.51
10/8/2008,Female,Service,Yes,3,5,5.9,0.37
2/4/2008,Female,Product,Yes,1,3,4.7,0.23
15/10/2008,Female,Service,Yes,2,4,5.1,0.41
